ItemKeyA,ItemKeyB
APPLIANCES-LARGE,APPLIANCES-SMALL
BATTERIES-LARGE,BATTERIES-SMALL
BEAMS-METAL,PIPES-METAL
BEAMS-METAL,METAL
BLANKETS,PILLOWS
BLANKETS,TOWELS
BOTTLES-BEER,BOTTLES-GLASS
BOTTLES-BEER,CANS-BEER
BOTTLES-BEER,BOTTLES-WINE
BOTTLES-GLASS,BOTTLES-WINE
BOTTLES-PLASTIC-1,BOTTLES-PLASTIC-2
CANS,CANS-BEER
CARS,CAR-PARTS
CARS,TIRES-CAR
CAR-PARTS,TIRES-CAR
CLOTHING-GENTLYUSED,FABRIC
CLOTHING-GENTLYUSED,JACKETS
CLOTHING-GENTLYUSED,SHOES-GENTLYUSED
CUTLERY,DISHES
ELECTRONICS,ELECTRONICS-GAME-CONSOLES
ELECTRONICS,ELECTRONICS-SMARTPHONE
ELECTRONICS,INK-CARTRIDGES
LUGGAGE,PURSES
MEDICATIONS,NEEDLES
METAL,PIPES-METAL
PAPER,PAPER-CARDBOARD
PAPER,PAPER-MAGAZINES
PAPER,WRITING-INSTRUMENTS
STYROFOAM,STYROFOAM-MEATTRAYS
